SAMPLE,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOHEIGHT,FIRST_OCCURRENCE
LB-4.55,21,2.951390391,0.031189309,-1.931919739,0.192991685,4.53,0,Gn. texanus
LB-4.75,21,2.726564468,0.033340281,-0.6406724,0.07903703,4.78,4.53,Gn. praebilineatus
LB-5.01,21,2.516366659,0.058104582,-0.84387313,0.250339112,5.04,12.5,L. nodosa
LB-5.13,23,1.807510813,0.051275074,-1.756828607,0.142712495,5.16,31.56,G. truyolsi
LB-5.43,23,3.035563799,0.051474667,-1.49666549,0.15364134,5.46,,
LB-5.76,23,3.133983626,0.045479742,-0.74197821,0.155610377,5.78,,
LB-6.0,25,2.581436968,0.044034991,-1.26325348,0.109529756,6.03,,
LB-6.15,26,3.081924636,0.051161916,-0.620057665,0.126230431,6.18,,
LB-6.45,26,2.888605653,0.057951126,-1.521528205,0.341553101,6.48,,
LB-6.8,27,2.78076564,0.041882544,-0.833102298,0.153682103,6.83,,
LB-7.0,29,3.18390438,0.02602135,0.085687007,0.194271734,7.03,,
LB-7.27,30,3.135550091,0.071181787,-1.267599854,0.206387569,7.3,,
LB-7.54,31,3.073393703,0.027178412,-0.360510127,0.190215851,7.57,,
LB-7.9,31,3.339711991,0.031678228,-0.552953512,0.353790495,7.93,,
LB-8.1,31,3.293071747,0.032750171,0.034839294,0.07251354,8.13,,
LB-8.7,32,3.466705329,0.041101142,0.187020779,0.178008273,8.73,,
LB-8.95,34,NaN,NaN,NaN,NaN,8.98,,
LB-9.16,34,3.324642367,0.059747035,-1.7472208,0.140247135,9.19,,
LB-9.5,35,3.528818656,0.045039244,-0.657841178,0.110092435,9.53,,
LB-9.9,36,3.526069648,0.048612644,-0.327995143,0.301618186,9.93,,
LB-10.16,37,2.506045911,0.054460891,-1.680123428,0.159967191,10.19,,
LB-10.27,39,2.774200734,0.047727235,-1.208034243,0.189885196,10.3,,
LB-10.59,41,3.270183315,0.021516746,-1.059623459,0.139949672,10.62,,
LB-10.98,41,NaN,NaN,NaN,NaN,11.01,,
LB-11.12,41,3.242576155,0.062068255,-0.610019019,0.175760041,11.15,,
LB-11.32,41,3.470516367,0.029625984,-0.372952168,0.132359913,11.35,,
LB-11.62,41,3.455069718,0.054219389,-0.815607405,0.17720553,11.65,,
LB-11.82,42,NaN,NaN,NaN,NaN,11.85,,
LB-12.12,43,3.274170023,0.052790071,-1.474444903,0.114357631,12.15,,
LB-12.30,43,NaN,NaN,NaN,NaN,12.33,,
LB-12.70,43,3.201575328,0.038578452,-0.328358189,0.093640861,12.73,,
LB-13.15,43,3.158014534,0.023505987,-0.901861526,0.159536705,13.18,,
LB-13.42,44,3.2828075,0.028112725,0.044372606,0.145741282,13.45,,
LB-13.62,44,3.348359044,0.047875676,-0.061495836,0.171290669,13.65,,
LB-14.15,45,3.316090288,0.0377036,-0.228928149,0.097877306,14.18,,
LB-14.3,46,3.36989045,0.056539476,-0.523711874,0.172750578,14.33,,
LB-14.61,46,NaN,NaN,NaN,NaN,14.64,,
LB-14.93,47,2.693604105,0.032057356,-1.412552379,0.179580458,14.96,,
LB-15.2,48,2.952676377,0.072730416,-1.441298158,0.205464029,15.23,,
LB-15.52,48,3.015154802,0.039423626,-1.648311226,0.39198002,15.55,,
LB-15.95,48,3.378006204,0.042551119,-0.015621821,0.206552375,15.98,,
LB-16.17,49,2.656793725,0.048869277,-2.992997524,0.13434969,16.2,,
LB-16.64,49,1.097925293,0.040376662,-2.494417624,0.140383761,16.67,,
LB-16.85,51,2.881798942,0.086883176,-1.131961739,0.395184822,16.88,,
LB-17.24,53,2.67770587,0.054572231,-0.756951401,0.187512224,17.27,,
LB-17.6,54,2.913930622,0.025024392,-0.68744188,0.184905244,17.63,,
LB-17.8,54,3.076627981,0.048181306,-0.582274933,0.216276539,17.83,,
LB-18.0,54,2.597018935,0.029931563,-0.469790144,0.262026711,18.03,,
LB-18.07,56,2.574575721,0.06740202,0.794631878,0.222248822,18.1,,
LB-18.23,60,2.831022029,0.045708754,-0.155803963,0.236011598,18.26,,
LB-18.45,60,2.984553243,0.04761389,0.208998859,0.167286098,18.48,,
LB-18.87,62,2.863048971,0.038869438,-0.196396063,0.141919873,18.9,,
LB-19.2,63,2.754011184,0.037667652,-0.292218461,0.103790129,19.23,,
LB-19.55,63,3.064698372,0.033574449,-0.259114475,0.119712829,19.58,,
LB-19.8,64,NaN,NaN,NaN,NaN,19.83,,
LB-20.05,64,2.890665034,0.029634335,-0.358186379,0.163235743,20.08,,
LB-20.30,65,1.901043224,0.03757449,-1.1965774,0.240391247,20.33,,
LB-20.42,66,2.910113195,0.028559391,-0.336119928,0.213014107,20.45,,
LB-20.68,66,NaN,NaN,NaN,NaN,20.71,,
LB-20.8,68,2.13659704,0.036379732,-0.781924835,0.254238187,20.83,,
LB-21.0,70,NaN,NaN,NaN,NaN,21.03,,
LB-21.24,72,NaN,NaN,NaN,NaN,21.27,,
LB-21.54,72,2.534732848,0.028235961,-1.537855615,0.179323666,21.57,,
LB-22.04,73,NaN,NaN,NaN,NaN,22.07,,
LB-22.39,75,2.171153431,0.048244166,-1.940958656,0.242379644,22.42,,
LB-22.50,77,2.300816993,0.074779349,-1.960808146,0.197316792,22.53,,
LB-22.60,79,2.538835392,0.138395634,-0.880348191,1.014437661,22.63,,
LB-22.8,80,2.416414771,0.04982557,-2.779453232,0.173983072,22.83,,
LB-22.9,81,2.273173192,0.057695678,-3.359751715,0.100036931,22.93,,
LB-23.0,82,2.706231443,0.039372633,-2.432530957,0.236339953,23.03,,
LB-23.1,83,2.325280348,0.060422719,-1.22766146,0.397570179,23.13,,
LB-23.49,85,3.656318145,0.085544658,0.080419757,0.149084218,23.52,,
LB-24.16,85,3.820733531,0.035822531,-0.35932788,0.129426145,24.19,,
LB-24.57,85,3.569046802,0.062883721,-1.540023089,0.219956624,24.6,,
LB-24.89,85,2.952315491,0.050222675,-2.719261343,0.143211859,24.92,,
LB-25.38,85,3.532818771,0.045482162,-2.417680563,0.264535049,25.41,,
LB-25.88,85,3.911962357,0.022516391,-1.105977584,0.148128506,25.91,,
LB-26.28,85,3.978523595,0.035571354,-0.021372185,0.156572198,26.31,,
LB-26.52,87,3.947237832,0.058189719,-0.837814013,0.057547035,26.55,,
LB-26.77,88,2.859809768,0.037975385,-1.035884195,0.142233902,26.8,,
LB-27.03,90,3.414273234,0.058477412,-2.329385335,0.237550892,27.06,,
LB-27.3,92,3.047460823,0.046785686,-2.173712017,0.277294668,27.33,,
LB-27.65,93,3.73316125,0.048075884,-0.712240557,0.168326625,27.68,,
LB-28.05,93,NaN,NaN,NaN,NaN,28.08,,
LB-28.40,93,3.661210239,0.067772327,-1.632928916,0.236241807,28.43,,
LB-28.76,93,0.802981095,0.084047447,-7.540278954,0.869219579,28.79,,
LB-28.96,93,3.315835384,0.056608354,-2.518717749,0.312979833,28.96,,
LB-29.05,95,3.885649785,0.020592198,-0.64931682,0.155545456,29.08,,
LB-29.37,95,3.217276205,0.080452903,-2.644127553,0.423625928,29.4,,
LB-29.61,95,3.479927295,0.075598158,-1.200340641,0.200544326,29.65,,
LB-30.16,96,3.122491025,0.069969643,-1.243114001,0.229782636,30.19,,
LB-30.46,96,3.528002557,0.026683746,-1.38651542,0.109187164,30.49,,
LB-30.76,96,NaN,NaN,NaN,NaN,30.79,,
LB-30.97,98,NaN,NaN,NaN,NaN,31,,
LB5-8.90,99,2.565787138,0.032970033,-2.615749878,0.151370741,31.02,,
LB5-9.19,99,1.835881325,0.071460495,-2.399454347,0.165623528,31.31,,
LB5-9.46,100,3.970759958,0.050302951,-1.869417855,0.22291905,31.58,,
LB5-9.71,102,4.149938522,0.043976061,-1.665772602,0.153142066,31.83,,
LB5-9.97,105,1.793265915,0.056724812,-2.214159424,0.149818742,32.09,,
LB5-10.21,106,3.859335264,0.026922532,-2.616019931,0.108327988,32.33,,
LB5-10.50,108,3.9014925,0.043823761,-2.243703638,0.123907409,32.62,,
LB5-10.78,108,3.935949892,0.110702789,-3.918311599,0.382853249,32.9,,
LB5-10.96,110,4.298392938,0.045539818,-1.359521189,0.139854092,33.08,,
LB5-11.10,110,2.223743626,0.077658992,-3.296845968,0.181797211,33.22,,
LB5-11.31,110,4.054419782,0.065107468,-1.050901415,0.095638527,33.43,,
LB5-11.66,111,4.497475926,0.030087803,-1.395157829,0.191932931,33.78,,
LB5-11.98,112,3.28860064,0.078198871,-2.549839127,0.252246307,34.1,,
LB5-12.23,114,NaN,NaN,NaN,NaN,34.35,,
LB5-12.51,115,4.121835565,0.032967754,-1.640034006,0.127722306,34.63,,
LB5-12.81,115,3.792679185,0.062826868,-0.626969504,0.078290261,34.93,,
LB5-13.01,115,3.512153919,0.03210076,-1.603624815,0.14790966,35.13,,
LB5-13.31,117,4.820535678,0.05377181,-0.307604863,0.255840206,35.43,,
LB5-13.61,118,4.377437488,0.02650636,-0.880373714,0.137480729,35.73,,
LB5-13.94,119,4.72879758,0.052933318,0.510629994,0.231459746,36.06,,
LB5-14.26,119,4.605261357,0.070311308,-1.162885635,0.160097512,36.38,,
LB5-14.52,119,4.595649498,0.060536475,-1.815295557,0.410030425,36.64,,
LB5-14.91,119,3.634533115,0.051181096,-3.221204468,0.177915973,37.03,,
LB5-15.16,119,4.508196239,0.022381089,0.167542839,0.124044135,37.28,,
LB5-15.48,119,NaN,NaN,NaN,NaN,37.6,,
LB5-15.80,119,NaN,NaN,NaN,NaN,37.92,,
LB5-16.12,119,4.41233354,0.071305398,-1.985184121,0.104649379,38.24,,
LB5-16.50,119,3.781265842,0.066715101,-3.808637488,0.208552183,38.62,,
LB5-16.80,119,3.987907789,0.03902832,-3.257038306,0.121342256,38.92,,
LB5-17.07,119,1.629075916,0.055261332,-1.622895142,0.121195645,39.19,,
LB5-17.37,121,4.122611742,0.06321148,-2.983779896,0.260255959,39.49,,
LB5-17.67,121,4.301001648,0.081347195,-0.882840857,0.252649945,39.79,,
LB5-17.95,121,4.177091832,0.061388963,-1.446332753,0.113312308,40.07,,
LB5-18.25,121,4.482472086,0.082091911,-1.738560957,0.193742809,40.37,,
LB5-18.55,121,4.570826249,0.035463618,-0.849408985,0.163437479,40.67,,
LB5-18.60,121,NaN,NaN,NaN,NaN,40.72,,
LB5-18.96,121,4.592991495,0.079635851,0.639519536,0.13000235,41.08,,
LB5-19.26,121,0.737866421,0.019407779,-2.21028985,0.079520572,41.38,,
LB5-19.56,121,4.385015017,0.126190922,-0.378480192,0.439844394,41.68,,
LB5-19.86,121,NaN,NaN,NaN,NaN,41.98,,
