THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOR,FEATURES,BEDFORMS,SAMPLE,BIOSTRAT,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOZONE,LITHOZONE,BIOSAMPLE,BIOLAYER,BIOHEIGHT,FIRST_OCCURRENCE,Olleros,SEDRATE,NEWH,NEWBH,NEWHC
0.15,lsgs,gs,gr,,,OLL1-4.88,,11,2.383863746,0.063035666,-2.518261188,0.082121962,4.88,0,1,NaN,NaN,NaN,NaN,,,,,
0.63,sh,f,gr,,,OLL1-5.18,,13,2.994799944,0.092654118,-2.066322171,0.314408939,5.18,0,1,Olleros1,1,0.07,,,,,,
3.73,sh,f,b,ash,,OLL1-5.48,,13,2.822804302,0.087956853,-2.057715729,0.178883452,5.48,0,1,Olleros4,1,0.15,,,,,,
0.04,ash,f,g,ash,,OLL1-5.78,,13,3.359636245,0.077227282,-1.179721884,0.306461916,5.78,0,1,Olleros3,4,4.52,,,,,,
0.05,sstn,med,gr,,,OLL1-6.08,,13,2.386799579,0.207226464,-3.668751798,0.416170379,6.08,0,2,OL1-J5234,11,4.88,,,,,,
0.02,sh,f,gr,,,OLL1-6.33,,13,2.955114965,0.055150217,-2.364560494,0.143846816,6.33,0,2,OLII,14,5.5,Sc. anchoralis,,,,,
0.07,sstn,med,,,,OLL1-6.60,,14,3.25455309,0.087294961,-2.300093072,0.122176399,6.6,0,3,OLIII,,6.6,Gn. texanus,,,,,
0.02,sh,f,,,,OLL1-6.95,,14,3.49281409,0.093735675,-2.517735513,0.177825855,6.95,1,3,KANT 6a,,8.62,Gn. praebilineatus,,,,,
0.09,lsw,sw,,,,OLL1-7.27,,14,3.605774602,0.056502866,-1.712981583,0.112154858,7.27,1,3,OL15,22,12.95,,,,,,
0.02,sh,f,,,,OLL1-7.71,,15,3.663539457,0.086369198,-1.772400145,0.169274351,7.71,1,3,OL16,22,13.52,,Gn. b. bilineatus,,,,
0.1,lsw,sw,,,,OLL1-7.98,,15,3.644069756,0.07404801,-1.78206322,0.117390663,7.98,1,3,OL17,23,13.63,,,,,,
0.02,sh,f,,,,OLL1-8.28,,15,3.514371387,0.095755094,-1.756090232,0.084049884,8.28,1,3,OL11,25,14.3,,,,,,
1.59,lsw,sw,gr,nod2,,OLL1-8.57,,15,3.687090475,0.071556175,-1.401798915,0.098898291,8.57,1,3,OL12,25,14.6,,,,,,
1.12,lsw,sw,r,nod2,,OLL1-8.87,,15,3.594479455,0.096085337,-1.808899746,0.109414135,8.87,1,3,OL13,30,15.32,,,,,,
3.56,lsw,sw,r,nod3,,OLL1-9.17,,15,3.470766408,0.079882067,-2.333006703,0.155373363,9.17,1,3,OL14,32,15.62,,,,,,
0.01,sh,f,r,,,OLL1-9.47,,15,3.452709783,0.064036257,-2.237530603,0.09330563,9.47,1,3,OLL8,,19.87,L. nodosa,,,,,
0.15,lsw,sw,r,nod3,,OLL1-9.77,,15,3.531280226,0.072144953,-1.546780511,0.169244219,9.77,2,3,XXX,,22.87,L. multinodosa,,,,,
0.02,sh,f,r,,,OLL1-10.07,,15,3.588376987,0.082647949,-1.707057361,0.191213392,10.07,2,3,,,,,,,,,
0.38,lsw,w,r,nod2,,OLL1-10.37,,15,3.452260243,0.078305182,-1.719073167,0.099431613,10.37,2,3,,,,,,,,,
0.02,sh,f,r,,,OLL1-10.67,,15,3.449000596,0.049121913,-2.393652512,0.104064999,10.67,2,3,,,,,,,,,
1.09,lsw,w,r,nod2,,OLL1-10.96,,15,3.553658518,0.067999964,-1.787621885,0.128730368,10.96,2,3,,,,,,,,,
0.73,sh,f,r,,,OLL1-11.26,,15,3.382287799,0.075436225,-2.344921213,0.07447318,11.26,2,3,,,,,,,,,
0.3,lsw,sw,r,nod1,,OLL1-11.41,,17,3.244485822,0.094570819,-2.19316594,0.131924313,11.41,2,3,,,,,,,,,
0.1,lsw,sw,r,nod2,,OLL1-11.80,,19,3.474017478,0.051276403,-2.573215478,0.101972022,11.8,2,3,,,,,,,,,
0.01,sh,f,r,,,OLL1-12.10,,21,3.000654286,0.055614187,-1.809205349,0.113504785,12.1,2,3,,,,,,,,,
0.52,lsw,w,rgr,nod2,,OLL1-12.50,,21,3.296955858,0.093295276,-2.305147695,0.188107301,12.5,2,3,,,,,,,,,
0.13,lsw,w,r,nod3,,OLL1-12.82,,21,3.199537323,0.046349288,-0.331599908,0.142213375,12.82,2,3,,,,,,,,,
0.43,ls,mi,gr2,tab,,OLL2-0.75,,22,3.02975575,0.082280843,-1.540802692,0.171161759,13.63,2,3,,,,,,,,,
0.05,sh,f,g,,,OLL2-1.03,,22,NaN,NaN,NaN,NaN,13.91,2,3,,,,,,,,,
0.28,ls,mi,gr2,tab,,OLL2-1.36,,25,3.481777172,0.074733341,-0.473960368,0.103676075,14.24,3,3,,,,,,,,,
0.02,sh,g,f,,,OLL2-1.66,,25,3.2337434,0.06338553,-1.442465408,0.078700257,14.54,3,3,,,,,,,,,
0.7,ls,mi,gr2,tab,,OLL2-2.07,,27,3.222662139,0.060897752,-1.357981177,0.133563449,14.95,3,3,,,,,,,,,
0.05,lsw,w,r,nod3,,OLL2-2.41,,29,1.814809629,0.090706067,-3.038818713,0.142226509,15.29,3,3,,,,,,,,,
0.7,ls,mi,gr1,nod1,,OLL2-2.58,,31,1.223138562,0.085630334,-3.108485125,0.04736324,15.46,3,3,,,,,,,,,
0.3,lsw,sw,p,nod1,,OLL2-2.86,,31,2.978860852,0.06064411,-2.371520145,0.082599438,15.74,3,3,,,,,,,,,
0.58,ls,mi,gr1,nod1,,OLL2-3.20,,31,3.266064683,0.081563776,-1.56678052,0.126255096,16.08,3,3,,,,,,,,,
0.4,lsw,sw,p,nod1,,OLL2-3.29,,32,2.421617594,0.196826636,-2.593833534,0.253154097,16.17,3,3,,,,,,,,,
0.38,ls,mi,p,nod2,,OLL2-3.62,,33,3.227058378,0.141563651,-2.269820369,0.153918278,16.5,3,3,,,,,,,,,
0.04,sh,f,g,,,OLL2-3.92,,33,3.185814862,0.095781041,-2.512106514,0.172399465,16.8,3,3,,,,,,,,,
1.58,lsw,sw,gr1,tab,,OLL2-4.32,,34,NaN,NaN,NaN,NaN,17.2,3,3,,,,,,,,,
0.3,lsw,sw,rgr,nod1,,OLL2-4.70,,35,3.856351542,0.062178249,-1.625573149,0.18551017,17.58,3,3,,,,,,,,,
1.85,ls,mi,gr2,tab,,OLL2-4.94,,36,3.601339654,0.078106027,-2.625965601,0.152422082,17.82,3,3,,,,,,,,,
0.5,cover,f,,,,OLL2-5.30,,36,3.591840232,0.085590367,-1.917920887,0.199127038,18.18,3,3,,,,,,,,,
0.5,ls,cm,p,nod2,,OLL2-5.34,,37,3.365354913,0.10093177,-2.986253754,0.107594045,18.22,3,3,,,,,,,,,
0.03,sh,f ash,g,,,OLL2-5.73,,39,2.93280209,0.079932335,-1.724117939,0.090766884,18.61,3,3,,,,,,,,,
1.56,ls,mi,gr1,nod1,,OLL2-6.06,,39,3.37792141,0.098351446,-2.491557176,0.146768957,18.94,3,3,,,,,,,,,
0.03,sh,f,g,,,OLL2-6.39,,39,2.600778054,0.028143924,-3.580486035,0.096374869,19.27,3,3,,,,,,,,,
0.12,ls,mi,gr2,,,OLL2-6.69,,39,3.680282776,0.085959491,-1.31981371,0.115082075,19.57,3,3,,,,,,,,,
0.1,ls,mi,p,nod1,,OLL2-6.99,,39,3.511545788,0.074452958,-1.935088301,0.088936668,19.87,3,3,,,,,,,,,
0.02,sh,f,,,,OLL2-7.29,,39,3.279392739,0.09914513,-4.741986441,0.407247187,20.17,4,3,,,,,,,,,
0.11,ls,mi,gr1,,,OLL2-7.60,,40,3.803543324,0.100518683,-2.37671921,0.200414643,20.48,4,3,,,,,,,,,
0.01,sh,f,,,,OLL2-7.94,,41,NaN,NaN,NaN,NaN,20.82,4,3,,,,,,,,,
0.1,ls,mi,gr2,lam,,OLL2-8.28,,41,3.720748954,0.087805077,-1.43936213,0.123965499,21.16,4,3,,,,,,,,,
0.02,sh,f,,,,OLL2-8.53,,41,3.629814431,0.112132066,-2.334669959,0.21829236,21.41,4,3,,,,,,,,,
0.06,ls,mi,p,,,OLL2-8.83,,41,3.652207616,0.094400603,-2.634057731,0.09902487,21.71,4,3,,,,,,,,,
0.06,ash,f,g,ash,,OLL2-9.14,,41,3.589108053,0.103975803,-3.454045107,0.124800885,22.02,4,3,,,,,,,,,
0.05,ls,mi,gr1,lam,,OLL2-9.44,,41,NaN,NaN,NaN,NaN,22.32,4,3,,,,,,,,,
0.21,ls,mi,gr1,,,OLL2-10.05,,43,3.412741017,0.126052004,-1.692583168,0.192377291,22.93,4,3,,,,,,,,,
0.07,ls,mi,gr1,lam,,OLL3-10.35,,43,2.38692982,0.125145373,-5.168440426,0.339893964,23.23,4,3,,,,,,,,,
0.17,ls,mi,p,,,OLL3-10.75,,45,2.826163749,0.081800238,-4.073429769,0.050803778,23.63,4,3,,,,,,,,,
0.21,ls,mi,gr1,,,OLL3-11.08,,45,3.442668794,0.084304779,-4.532784542,0.082763935,23.96,4,3,,,,,,,,,
0.12,ls,mi,gr1,lam,,OLL3-11.43,,45,3.287948263,0.029112588,-3.330835229,0.082949577,24.31,4,3,,,,,,,,,
0.22,ls,mi,p,,,OLL3-11.73,,45,3.424632111,0.103310993,-2.23005164,0.18288857,24.61,4,3,,,,,,,,,
0.29,ls,mi,r,lam,,OLL3-12.03,,45,3.474086199,0.091908502,-2.709605582,0.098138098,24.91,4,3,,,,,,,,,
0.04,sh,f,g,,,OLL3-12.24,,48,3.471416599,0.068839039,-2.639701306,0.112082628,25.12,4,3,,,,,,,,,
0.67,ls,sw,r,nod2,,OLL3-12.48,,52,3.516061451,0.063797161,-6.271759006,0.180158102,25.36,4,3,,,,,,,,,
0.17,sh,f,r,,,OLL3-12.58,,54,3.591768282,0.078257586,-2.311563463,0.189228561,25.46,4,3,,,,,,,,,
0.16,lsw,sw,r,nod2,,D260,,55,NaN,NaN,NaN,NaN,25.58,4,3,,,,,,,,,
0.09,ls,cm,p,,,OLL3-13.01,,59,3.960840915,0.081827268,-2.417829143,0.27850117,25.89,5,3,,,,,,,,,
0.08,sh,f,r,,,OLL3-13.70,,62,3.908522034,0.112636405,-2.6841433,0.342443079,26.58,5,3,,,,,,,,,
0.38,mu,f,r,lam,,OLL3-14.02,,43,NaN,NaN,NaN,NaN,26.9,5,3,,,,,,,,,
0.14,ls,sw,rgr,nod2,,OLL3-14.41,,65,4.229608458,0.03836106,-1.049804166,0.13883108,27.29,5,3,,,,,,,,,
0.02,sh,f,r,,,OLL3-14.71,,65,3.126419074,0.067029102,-3.02900535,0.178085713,27.59,5,3,,,,,,,,,
0.15,ls,sw,rgr,,,OLL3-14.96,,67,3.537162248,0.073590766,-2.435634536,0.105015469,27.84,5,3,,,,,,,,,
0.11,ls,breccia,gr2,breccia,,OLL3-15.12,,68,3.431316093,0.084410375,-2.943875018,0.088798722,28,5,3,,,,,,,,,
0.17,sh,f,r,,,OLL3-15.37,,70,NaN,NaN,NaN,NaN,28.25,5,3,,,,,,,,,
0.11,ls,mi,rgr,,,OLL3-15.74,,71,3.021736951,0.092183904,-3.964708797,0.315569928,28.62,5,3,,,,,,,,,
0.19,ls,mi,gr,,,OLL3-15.96,,73,3.121740334,0.071322916,-2.540629393,0.065044826,28.84,5,3,,,,,,,,,
0.07,sh,f,r,,,OLL3-16.26,,76,2.935547361,0.098712537,-2.888421177,0.239407908,29.14,5,3,,,,,,,,,
0.18,ls,mi,gr,,,OLL3-16.47,,77,3.096257854,0.076671171,-3.450100812,0.116388703,29.35,5,3,,,,,,,,,
0.46,sh,f,br,,,OLL3-16.79,,79,3.237041473,0.091863346,-2.463690005,0.051970907,29.67,5,3,,,,,,,,,
0.15,sh,f,br,,,OLL3-17.42,,82,3.062657893,0.101082931,-2.518882656,0.219411114,30.3,5,4,,,,,,,,,
0.25,ls,mi,gr2,,,OLL3-17.66,,82,3.130725645,0.062913234,-3.152039815,0.171725873,30.54,5,4,,,,,,,,,
0.67,ls,breccia,gr2,breccia,,OLL3-18.00,,83,NaN,NaN,NaN,NaN,30.88,5,4,,,,,,,,,
0.19,ls,mi,gr1,lam,,OLL3-18.44,,84,1.681133532,0.078093064,-3.212948661,0.143126861,31.32,5,4,,,,,,,,,
0.13,lsg,gs,gr2,,,OLL3-18.63,,85,2.980205931,0.069494147,-2.577037246,0.130053779,31.51,5,4,,,,,,,,,
0.23,sh,f,g,,,OLL3-18.89,,86,2.481531504,0.125888856,-3.315918529,0.554238675,31.77,5,4,,,,,,,,,
0.07,ls,mi,gr2,,,OLL3-19.00,,87,2.879622991,0.10281834,-2.443698091,0.20437408,31.88,5,4,,,,,,,,,
0.29,ls,breccia,gr2,breccia,,OLL3-19.35,,89,3.256083656,0.057661483,-0.616462243,0.148627082,32.23,5,4,,,,,,,,,
0.61,ls,breccia,gr2,breccia,,OLL3-19.50,,89,NaN,NaN,NaN,NaN,32.38,5,4,,,,,,,,,
0.3,ls,cm,gr3,,,OLL3-19.70,,89,3.102786595,0.056305665,-1.288750996,0.177150763,32.58,5,4,,,,,,,,,
1.7,sh,f,,,,OLL3-19.93,,89,2.98817797,0.093458543,-1.990079628,0.116080457,32.81,5,4,,,,,,,,,
0.09,ls,cm,p,,,OLL3-20.23,,90,2.505403169,0.096759505,-2.524720739,0.142054546,33.11,5,4,,,,,,,,,
0.08,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.38,mu,f,r,lam,,,,,,,,,,,,,,,,,,,,
0.14,lsw,sw,rgr,nod2,,,,,,,,,,,,,,,,,,,,
0.02,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.15,lsw,sw,rgr,,,,,,,,,,,,,,,,,,,,,
0.11,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.17,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.11,ls,mi,rgr,,,,,,,,,,,,,,,,,,,,,
0.19,ls,mi,gr,,,,,,,,,,,,,,,,,,,,,
0.07,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.18,ls,mi,gr,,,,,,,,,,,,,,,,,,,,,
0.46,sh,f,br,,,,,,,,,,,,,,,,,,,,,
0.15,sh,f,br,,,,,,,,,,,,,,,,,,,,,
0.25,ls,mi,gr2,,,,,,,,,,,,,,,,,,,,,
0.67,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.19,ls,mi,gr1,lam,,,,,,,,,,,,,,,,,,,,
0.13,ls,gs,gr2,,,,,,,,,,,,,,,,,,,,,
0.23,sh,f,g,,,,,,,,,,,,,,,,,,,,,
0.07,ls,mi,gr2,,,,,,,,,,,,,,,,,,,,,
0.29,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.61,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.3,ls,cm,gr3,,,,,,,,,,,,,,,,,,,,,
1.7,sh,f,,,,,,,,,,,,,,,,,,,,,,